'time', 'timestamp', 'endpoint', 'object', 'instance', 'resource', 'value'
2021-05-06 16:39:10.170619+01,1620315549,t91-jak,3300,4,5700,1059907392
2021-05-06 16:39:04.873269+01,1620315544,t91-jak,3300,3,5700,1101509248
2021-05-06 16:38:59.516153+01,1620315539,t91-jak,3300,2,5700,1100731904
2021-05-06 16:38:54.074653+01,1620315533,t91-jak,3300,0,5700,128365.0
2021-05-06 16:38:43.830296+01,1620315523,t91-jak,3304,0,5700,22.89699935913086
2021-05-06 16:38:43.526842+01,1620315523,t91-jak,3303,0,5700,14.179999351501465
2021-05-06 16:38:43.209485+01,1620315522,t91-jak,3300,4,5700,1059907392
2021-05-06 16:38:37.930103+01,1620315517,t91-jak,3300,3,5700,1101509248
2021-05-06 16:38:32.632481+01,1620315512,t91-jak,3300,2,5700,1092448896
2021-05-06 16:38:27.115814+01,1620315506,t91-jak,3300,0,5700,137233.0
2021-05-06 16:27:58.074825+01,1620314878,t91-jak,3304,0,5700,19.00899887084961
2021-05-06 16:27:57.768563+01,1620314878,t91-jak,3303,0,5700,15.679999351501465
2021-05-06 16:27:57.435576+01,1620314878,t91-jak,3300,4,5700,1070638016
2021-05-06 16:27:52.089019+01,1620314872,t91-jak,3300,3,5700,1108154624
2021-05-06 16:27:46.792772+01,1620314867,t91-jak,3300,2,5700,1111689088
2021-05-06 16:27:41.273652+01,1620314861,t91-jak,3300,0,5700,96627.0
2021-05-06 16:27:29.593203+01,1620314850,t91-jak,3304,0,5700,18.207998275756836
2021-05-06 16:27:29.287093+01,1620314849,t91-jak,3303,0,5700,15.979999542236328
2021-05-06 16:27:28.949951+01,1620314849,t91-jak,3300,4,5700,1070638016
2021-05-06 16:27:23.590264+01,1620314844,t91-jak,3300,3,5700,1107380352
2021-05-06 16:27:18.012302+01,1620314838,t91-jak,3300,2,5700,1105727744
2021-05-06 16:27:12.551296+01,1620314833,t91-jak,3300,0,5700,164086.0
2021-05-06 16:07:19.751476+01,1620313639,t91-jak,3304,0,5700,15.161999702453613
2021-05-06 16:07:19.446098+01,1620313639,t91-jak,3303,0,5700,21.059999465942383
2021-05-06 16:07:19.113751+01,1620313638,t91-jak,3300,4,5700,1070638016
2021-05-06 16:07:13.752496+01,1620313633,t91-jak,3300,3,5700,1104404352
2021-05-06 16:07:08.331208+01,1620313628,t91-jak,3300,2,5700,1092448896
2021-05-06 16:07:02.966249+01,1620313622,t91-jak,3300,0,5700,117187.0
2021-05-06 16:06:47.687524+01,1620313607,t91-jak,3304,0,5700,15.746999740600586
2021-05-06 16:06:47.430613+01,1620313607,t91-jak,3303,0,5700,19.669998168945312
2021-05-06 16:06:47.113655+01,1620313606,t91-jak,3300,4,5700,1070638016
2021-05-06 16:06:41.612827+01,1620313601,t91-jak,3300,3,5700,1093120640
2021-05-06 16:06:36.330038+01,1620313595,t91-jak,3300,2,5700,1092448896
2021-05-06 16:06:30.953415+01,1620313590,t91-jak,3300,0,5700,163763.0
2021-05-06 15:55:59.993812+01,1620312959,t91-jak,3304,0,5700,15.693999290466309
2021-05-06 15:55:59.678558+01,1620312959,t91-jak,3303,0,5700,21.56999969482422
2021-05-06 15:55:59.352577+01,1620312958,t91-jak,3300,4,5700,1070638016
2021-05-06 15:55:53.993098+01,1620312953,t91-jak,3300,3,5700,1093120640
2021-05-06 15:55:48.630874+01,1620312948,t91-jak,3300,2,5700,1097339136
2021-05-06 15:55:43.272079+01,1620312942,t91-jak,3300,0,5700,121364.0
2021-05-06 15:55:28.232278+01,1620312927,t91-jak,3304,0,5700,15.855999946594238
2021-05-06 15:55:27.927041+01,1620312927,t91-jak,3303,0,5700,20.779998779296875
2021-05-06 15:55:27.59423+01,1620312927,t91-jak,3300,4,5700,1059907392
2021-05-06 15:55:22.175448+01,1620312921,t91-jak,3300,3,5700,1093120640
2021-05-06 15:55:16.746434+01,1620312916,t91-jak,3300,2,5700,1092448896
2021-05-06 15:55:11.271323+01,1620312910,t91-jak,3300,0,5700,159842.0
2021-05-06 15:45:11.00915+01,1620312310,t91-jak,3304,0,5700,18.834999084472656
2021-05-06 15:45:10.792929+01,1620312310,t91-jak,3303,0,5700,17.089998245239258
2021-05-06 15:45:10.490524+01,1620312310,t91-jak,3300,4,5700,1070638016
2021-05-06 15:45:05.207908+01,1620312304,t91-jak,3300,3,5700,1101509248
